Name,Address,Parsed Address,Latitude,Longitude,Website,Type
NextFab (South Philly),"2025 Washington Ave, Philadelphia","2025 Washington Avenue, Philadelphia, PA, USA",39.939354,-75.177355,https://nextfab.com/,community
NextFab (North Philly),"1227 N 4th Street, Philadelphia","1227 North 4th Street, Philadelphia, PA, USA",39.970887,-75.142624,https://nextfab.com/,community
MakerJawn,Locations Vary- Philadelphia Free Libraries,"Castroville Branch Monterey County Free Libraries, Castroville, CA, USA",36.762735,-121.754394,http://makerjawn.org,community
Hive76,"1901 S. 9th Street, Philadelphia","1901 South 9th Street, Philadelphia, PA, USA",39.925343,-75.159518,http://www.hive76.org,community
Philly Makerhouse,3237 Amber St Unit 4-3-B (3rd floor) ,"Amber Street, Vermillion, SD, USA",42.777354,-96.941117,https://phillymakerhouse.com,community
Amp Tech,"31 General Warren Blvd, Malvern PA, 19355","Malvern, PA, USA",40.033043,-75.513375,https://amptech.org/,community
PA Maker Space,"400 Franklin Ave. #103 Phoenixville, PA 19460","Franklin Avenue, Phoenixville, PA, USA",40.142718,-75.52095,https://www.pamakerspace.com/,community
Metal Incorporated,"2609 East Cambria St., Philadelphia","2609-13 E Cambria St, Philadelphia, PA, USA",39.981453,-75.110783,http://www.metalincorporated.com,community
Tulpehocken Exchange,"47 E High St, Philadelphia, PA 19144","East High Street, Philadelphia, PA, USA",40.043676,-75.173299,https://www.instagram.com/tulpehocken_exchange/,community
The Village of Arts & Humanities,"2544 Germantown Ave, Philadelphia","2544 Germantown Ave, Philadelphia, PA, USA",39.990931,-75.148519,http://villagearts.org/,community
Second State Press,"Second State Press 1400 N. American Street, B103 Philadelphia PA 19122","19122, Philadelphia, PA, USA",39.977746,-75.1459,http://www.secondstatepress.org,community
PPAC - Philadelphia Photo Arts Center,"1400 N. American Street #103 Philadelphia, PA 19122","1400 N American St, Philadelphia, PA, USA",39.973368,-75.140489,https://www.philaphotoarts.org,community
Handcraft Workshop (Sewing),"7224 Germantown Avenue Philadelphia, PA 19119","7224 Germantown Ave, Philadelphia, PA, USA",40.06038,-75.19165,http://handcraftworkshop.com,community
Independence Seaport Museum,"211 S. Columbus Blvd. Philadelphia, PA 19106","Philadelphia, PA, USA",39.990821,-75.168428,http://www.phillyseaport.org/Makerspace,community
Philly Maker House,"3237 Amber St Unit 4-3-B (3rd Floor), Philadelphia, PA 19134, United States","Amber Street, Philadelphia, PA, USA",39.991036,-75.111887,https://www.phillymakerhouse.com/,community
TinyWPA,"4017 Lancaster Ave, Philadelphia, PA 19104","4017 Lancaster Ave, Philadelphia, PA, USA",39.963684,-75.202762,http://www.tinywpa.org/stop-by-build/,community
